IE_XML_ID;Наименование;Артикул;Гибкий
6676;архитрав FLEX;1.26.003;Y
4790;карниз;1.50.109;N
4823;карниз;1.50.151;N
6771;карниз;1.50.206;N
4885;карниз;1.50.255;N
4889;карниз;1.50.259;N
6438;карниз;1.50.280;N
6498;карниз;1.50.284;N
21618;карниз;1.50.299;N
4952;карниз FLEX;1.50.152;Y
4974;карниз FLEX;1.50.176;Y
6824;карниз FLEX;1.50.272;Y
6670;карниз FLEX;1.50.277;Y
6582;карниз FLEX;1.50.280;Y
6564;карниз FLEX;1.50.286;Y
5167;кронштейн;1.19.001;N
5042;молдинг;1.51.313;N
5046;молдинг;1.51.318;N
5048;молдинг;1.51.320;N
5034;молдинг;1.51.325;N
5051;молдинг;1.51.330;N
5065;молдинг;1.51.334;N
5064;молдинг;1.51.336;N
5054;молдинг;1.51.341;N
5059;молдинг;1.51.380;N
47212;молдинг;1.51.602;N
5102;молдинг FLEX;1.51.320;Y
5105;молдинг FLEX;1.51.330;Y
5882;ниша;1.61.102;N
5883;ниша с полкой;1.61.110;N
5884;ниша с полкой;1.61.120;N
6585;орнамент;1.60.033;N
6588;розетка;1.56.008;N
5207;розетка;1.56.012;N
5174;розетка;1.56.017;N
5184;розетка;1.56.019;N
5188;розетка;1.56.024;N
5205;розетка;1.56.033;N
5206;розетка;1.56.038;N
5211;розетка;1.56.042;N
6742;розетка;1.56.048;N
21623;розетка;1.56.055;N
37766;розетка;1.56.056;N
31409;розетка;1.56.057;N
5276;ствол;1.16.030;N
5160;угловой элемент;1.52.300;N
5164;угловой элемент;1.52.313;N
6710;угловой элемент;1.52.352;N
